日期,時段名稱,具體時間,節氣,年柱,年屬性,月柱,月屬性,日柱,日屬性,時柱,時屬性,年星,年星五行,月星,月星五行,日星,日星五行,時星,時星五行
1978-07-18,寅時,03:00-05:00,,戊午,陽土陽火,丁未,陰火陰土,辛巳,陰金陰火,庚寅,陽金陽木,四綠,木,三碧,木,七赤,金,一白,水
1978-07-18,卯時,05:00-07:00,,戊午,陽土陽火,丁未,陰火陰土,辛巳,陰金陰火,辛卯,陰金陰木,四綠,木,三碧,木,七赤,金,九紫,火
1978-07-18,辰時,07:00-09:00,,戊午,陽土陽火,丁未,陰火陰土,辛巳,陰金陰火,壬辰,陽水陽土,四綠,木,三碧,木,七赤,金,八白,土
1978-07-18,巳時,09:00-11:00,,戊午,陽土陽火,丁未,陰火陰土,辛巳,陰金陰火,癸巳,陰水陰火,四綠,木,三碧,木,七赤,金,七赤,金
1978-07-18,午時,11:00-13:00,,戊午,陽土陽火,丁未,陰火陰土,辛巳,陰金陰火,甲午,陽木陽火,四綠,木,三碧,木,七赤,金,六白,金
1978-07-18,未時,13:00-15:00,,戊午,陽土陽火,丁未,陰火陰土,辛巳,陰金陰火,乙未,陰木陰土,四綠,木,三碧,木,七赤,金,五黃,土
1978-07-18,申時,15:00-17:00,,戊午,陽土陽火,丁未,陰火陰土,辛巳,陰金陰火,丙申,陽火陽金,四綠,木,三碧,木,七赤,金,四綠,木
1978-07-18,酉時,17:00-19:00,,戊午,陽土陽火,丁未,陰火陰土,辛巳,陰金陰火,丁酉,陰火陰金,四綠,木,三碧,木,七赤,金,三碧,木
1978-07-18,戌時,19:00-21:00,,戊午,陽土陽火,丁未,陰火陰土,辛巳,陰金陰火,戊戌,陽土陽土,四綠,木,三碧,木,七赤,金,二黑,土
1978-07-18,亥時,21:00-23:00,,戊午,陽土陽火,丁未,陰火陰土,辛巳,陰金陰火,己亥,陰土陰水,四綠,木,三碧,木,七赤,金,一白,水
1978-07-18,晚子時,23:00-24:00,,戊午,陽土陽火,丁未,陰火陰土,辛巳,陰金陰火,庚子,陽金陽水,四綠,木,三碧,木,七赤,金,三碧,木
1978-07-19,早子時,00:00-01:00,,戊午,陽土陽火,丁未,陰火陰土,壬午,陽水陽火,庚子,陽金陽水,四綠,木,三碧,木,六白,金,九紫,火
1978-07-19,丑時,01:00-03:00,,戊午,陽土陽火,丁未,陰火陰土,壬午,陽水陽火,辛丑,陰金陰土,四綠,木,三碧,木,六白,金,八白,土
1978-07-19,寅時,03:00-05:00,,戊午,陽土陽火,丁未,陰火陰土,壬午,陽水陽火,壬寅,陽水陽木,四綠,木,三碧,木,六白,金,七赤,金
1978-07-19,卯時,05:00-07:00,,戊午,陽土陽火,丁未,陰火陰土,壬午,陽水陽火,癸卯,陰水陰木,四綠,木,三碧,木,六白,金,六白,金
1978-07-19,辰時,07:00-09:00,,戊午,陽土陽火,丁未,陰火陰土,壬午,陽水陽火,甲辰,陽木陽土,四綠,木,三碧,木,六白,金,五黃,土
1978-07-19,巳時,09:00-11:00,,戊午,陽土陽火,丁未,陰火陰土,壬午,陽水陽火,乙巳,陰木陰火,四綠,木,三碧,木,六白,金,四綠,木
1978-07-19,午時,11:00-13:00,,戊午,陽土陽火,丁未,陰火陰土,壬午,陽水陽火,丙午,陽火陽火,四綠,木,三碧,木,六白,金,三碧,木
1978-07-19,未時,13:00-15:00,,戊午,陽土陽火,丁未,陰火陰土,壬午,陽水陽火,丁未,陰火陰土,四綠,木,三碧,木,六白,金,二黑,土
1978-07-19,申時,15:00-17:00,,戊午,陽土陽火,丁未,陰火陰土,壬午,陽水陽火,戊申,陽土陽金,四綠,木,三碧,木,六白,金,一白,水
1978-07-19,酉時,17:00-19:00,,戊午,陽土陽火,丁未,陰火陰土,壬午,陽水陽火,己酉,陰土陰金,四綠,木,三碧,木,六白,金,九紫,火
1978-07-19,戌時,19:00-21:00,,戊午,陽土陽火,丁未,陰火陰土,壬午,陽水陽火,庚戌,陽金陽土,四綠,木,三碧,木,六白,金,八白,土
1978-07-19,亥時,21:00-23:00,,戊午,陽土陽火,丁未,陰火陰土,壬午,陽水陽火,辛亥,陰金陰水,四綠,木,三碧,木,六白,金,七赤,金
1978-07-19,晚子時,23:00-24:00,,戊午,陽土陽火,丁未,陰火陰土,壬午,陽水陽火,壬子,陽水陽水,四綠,木,三碧,木,六白,金,九紫,火
1978-07-20,早子時,00:00-01:00,,戊午,陽土陽火,丁未,陰火陰土,癸未,陰水陰土,壬子,陽水陽水,四綠,木,三碧,木,五黃,土,六白,金
1978-07-20,丑時,01:00-03:00,,戊午,陽土陽火,丁未,陰火陰土,癸未,陰水陰土,癸丑,陰水陰土,四綠,木,三碧,木,五黃,土,五黃,土
1978-07-20,寅時,03:00-05:00,,戊午,陽土陽火,丁未,陰火陰土,癸未,陰水陰土,甲寅,陽木陽木,四綠,木,三碧,木,五黃,土,四綠,木
1978-07-20,卯時,05:00-07:00,,戊午,陽土陽火,丁未,陰火陰土,癸未,陰水陰土,乙卯,陰木陰木,四綠,木,三碧,木,五黃,土,三碧,木
1978-07-20,辰時,07:00-09:00,,戊午,陽土陽火,丁未,陰火陰土,癸未,陰水陰土,丙辰,陽火陽土,四綠,木,三碧,木,五黃,土,二黑,土
1978-07-20,巳時,09:00-11:00,,戊午,陽土陽火,丁未,陰火陰土,癸未,陰水陰土,丁巳,陰火陰火,四綠,木,三碧,木,五黃,土,一白,水
1978-07-20,午時,11:00-13:00,,戊午,陽土陽火,丁未,陰火陰土,癸未,陰水陰土,戊午,陽土陽火,四綠,木,三碧,木,五黃,土,九紫,火
1978-07-20,未時,13:00-15:00,,戊午,陽土陽火,丁未,陰火陰土,癸未,陰水陰土,己未,陰土陰土,四綠,木,三碧,木,五黃,土,八白,土
1978-07-20,申時,15:00-17:00,,戊午,陽土陽火,丁未,陰火陰土,癸未,陰水陰土,庚申,陽金陽金,四綠,木,三碧,木,五黃,土,七赤,金
1978-07-20,酉時,17:00-19:00,,戊午,陽土陽火,丁未,陰火陰土,癸未,陰水陰土,辛酉,陰金陰金,四綠,木,三碧,木,五黃,土,六白,金
1978-07-20,戌時,19:00-21:00,,戊午,陽土陽火,丁未,陰火陰土,癸未,陰水陰土,壬戌,陽水陽土,四綠,木,三碧,木,五黃,土,五黃,土
1978-07-20,亥時,21:00-23:00,,戊午,陽土陽火,丁未,陰火陰土,癸未,陰水陰土,癸亥,陰水陰水,四綠,木,三碧,木,五黃,土,四綠,木
1978-07-20,晚子時,23:00-24:00,,戊午,陽土陽火,丁未,陰火陰土,癸未,陰水陰土,甲子,陽木陽水,四綠,木,三碧,木,五黃,土,六白,金
1978-07-21,早子時,00:00-01:00,,戊午,陽土陽火,丁未,陰火陰土,甲申,陽木陽金,甲子,陽木陽水,四綠,木,三碧,木,四綠,木,三碧,木
1978-07-21,丑時,01:00-03:00,,戊午,陽土陽火,丁未,陰火陰土,甲申,陽木陽金,乙丑,陰木陰土,四綠,木,三碧,木,四綠,木,二黑,土
1978-07-21,寅時,03:00-05:00,,戊午,陽土陽火,丁未,陰火陰土,甲申,陽木陽金,丙寅,陽火陽木,四綠,木,三碧,木,四綠,木,一白,水
1978-07-21,卯時,05:00-07:00,,戊午,陽土陽火,丁未,陰火陰土,甲申,陽木陽金,丁卯,陰火陰木,四綠,木,三碧,木,四綠,木,九紫,火
1978-07-21,辰時,07:00-09:00,,戊午,陽土陽火,丁未,陰火陰土,甲申,陽木陽金,戊辰,陽土陽土,四綠,木,三碧,木,四綠,木,八白,土
1978-07-21,巳時,09:00-11:00,,戊午,陽土陽火,丁未,陰火陰土,甲申,陽木陽金,己巳,陰土陰火,四綠,木,三碧,木,四綠,木,七赤,金
1978-07-21,午時,11:00-13:00,,戊午,陽土陽火,丁未,陰火陰土,甲申,陽木陽金,庚午,陽金陽火,四綠,木,三碧,木,四綠,木,六白,金
1978-07-21,未時,13:00-15:00,,戊午,陽土陽火,丁未,陰火陰土,甲申,陽木陽金,辛未,陰金陰土,四綠,木,三碧,木,四綠,木,五黃,土
1978-07-21,申時,15:00-17:00,,戊午,陽土陽火,丁未,陰火陰土,甲申,陽木陽金,壬申,陽水陽金,四綠,木,三碧,木,四綠,木,四綠,木
1978-07-21,酉時,17:00-19:00,,戊午,陽土陽火,丁未,陰火陰土,甲申,陽木陽金,癸酉,陰水陰金,四綠,木,三碧,木,四綠,木,三碧,木
1978-07-21,戌時,19:00-21:00,,戊午,陽土陽火,丁未,陰火陰土,甲申,陽木陽金,甲戌,陽木陽土,四綠,木,三碧,木,四綠,木,二黑,土
1978-07-21,亥時,21:00-23:00,,戊午,陽土陽火,丁未,陰火陰土,甲申,陽木陽金,乙亥,陰木陰水,四綠,木,三碧,木,四綠,木,一白,水
1978-07-21,晚子時,23:00-24:00,,戊午,陽土陽火,丁未,陰火陰土,甲申,陽木陽金,丙子,陽火陽水,四綠,木,三碧,木,四綠,木,三碧,木
1978-07-22,早子時,00:00-01:00,,戊午,陽土陽火,丁未,陰火陰土,乙酉,陰木陰金,丙子,陽火陽水,四綠,木,三碧,木,三碧,木,九紫,火
1978-07-22,丑時,01:00-03:00,,戊午,陽土陽火,丁未,陰火陰土,乙酉,陰木陰金,丁丑,陰火陰土,四綠,木,三碧,木,三碧,木,八白,土
1978-07-22,寅時,03:00-05:00,,戊午,陽土陽火,丁未,陰火陰土,乙酉,陰木陰金,戊寅,陽土陽木,四綠,木,三碧,木,三碧,木,七赤,金
1978-07-22,卯時,05:00-07:00,,戊午,陽土陽火,丁未,陰火陰土,乙酉,陰木陰金,己卯,陰土陰木,四綠,木,三碧,木,三碧,木,六白,金
1978-07-22,辰時,07:00-09:00,,戊午,陽土陽火,丁未,陰火陰土,乙酉,陰木陰金,庚辰,陽金陽土,四綠,木,三碧,木,三碧,木,五黃,土
1978-07-22,巳時,09:00-11:00,,戊午,陽土陽火,丁未,陰火陰土,乙酉,陰木陰金,辛巳,陰金陰火,四綠,木,三碧,木,三碧,木,四綠,木
1978-07-22,午時,11:00-13:00,,戊午,陽土陽火,丁未,陰火陰土,乙酉,陰木陰金,壬午,陽水陽火,四綠,木,三碧,木,三碧,木,三碧,木
1978-07-22,未時,13:00-15:00,,戊午,陽土陽火,丁未,陰火陰土,乙酉,陰木陰金,癸未,陰水陰土,四綠,木,三碧,木,三碧,木,二黑,土
1978-07-22,申時,15:00-17:00,,戊午,陽土陽火,丁未,陰火陰土,乙酉,陰木陰金,甲申,陽木陽金,四綠,木,三碧,木,三碧,木,一白,水
1978-07-22,酉時,17:00-19:00,,戊午,陽土陽火,丁未,陰火陰土,乙酉,陰木陰金,乙酉,陰木陰金,四綠,木,三碧,木,三碧,木,九紫,火
1978-07-22,戌時,19:00-21:00,,戊午,陽土陽火,丁未,陰火陰土,乙酉,陰木陰金,丙戌,陽火陽土,四綠,木,三碧,木,三碧,木,八白,土
1978-07-22,亥時,21:00-23:00,,戊午,陽土陽火,丁未,陰火陰土,乙酉,陰木陰金,丁亥,陰火陰水,四綠,木,三碧,木,三碧,木,七赤,金
1978-07-22,晚子時,23:00-24:00,,戊午,陽土陽火,丁未,陰火陰土,乙酉,陰木陰金,戊子,陽土陽水,四綠,木,三碧,木,三碧,木,九紫,火
1978-07-23,早子時,00:00-01:00,大暑,戊午,陽土陽火,丁未,陰火陰土,丙戌,陽火陽土,戊子,陽土陽水,四綠,木,三碧,木,二黑,土,六白,金
1978-07-23,丑時,01:00-03:00,,戊午,陽土陽火,丁未,陰火陰土,丙戌,陽火陽土,己丑,陰土陰土,四綠,木,三碧,木,二黑,土,五黃,土
1978-07-23,寅時,03:00-05:00,,戊午,陽土陽火,丁未,陰火陰土,丙戌,陽火陽土,庚寅,陽金陽木,四綠,木,三碧,木,二黑,土,四綠,木
1978-07-23,卯時,05:00-07:00,,戊午,陽土陽火,丁未,陰火陰土,丙戌,陽火陽土,辛卯,陰金陰木,四綠,木,三碧,木,二黑,土,三碧,木
1978-07-23,辰時,07:00-09:00,,戊午,陽土陽火,丁未,陰火陰土,丙戌,陽火陽土,壬辰,陽水陽土,四綠,木,三碧,木,二黑,土,二黑,土
1978-07-23,巳時,09:00-11:00,,戊午,陽土陽火,丁未,陰火陰土,丙戌,陽火陽土,癸巳,陰水陰火,四綠,木,三碧,木,二黑,土,一白,水
1978-07-23,午時,11:00-13:00,,戊午,陽土陽火,丁未,陰火陰土,丙戌,陽火陽土,甲午,陽木陽火,四綠,木,三碧,木,二黑,土,九紫,火
1978-07-23,未時,13:00-15:00,,戊午,陽土陽火,丁未,陰火陰土,丙戌,陽火陽土,乙未,陰木陰土,四綠,木,三碧,木,二黑,土,八白,土
1978-07-23,申時,15:00-17:00,,戊午,陽土陽火,丁未,陰火陰土,丙戌,陽火陽土,丙申,陽火陽金,四綠,木,三碧,木,二黑,土,七赤,金
1978-07-23,酉時,17:00-19:00,,戊午,陽土陽火,丁未,陰火陰土,丙戌,陽火陽土,丁酉,陰火陰金,四綠,木,三碧,木,二黑,土,六白,金
1978-07-23,戌時,19:00-21:00,,戊午,陽土陽火,丁未,陰火陰土,丙戌,陽火陽土,戊戌,陽土陽土,四綠,木,三碧,木,二黑,土,五黃,土
1978-07-23,亥時,21:00-23:00,,戊午,陽土陽火,丁未,陰火陰土,丙戌,陽火陽土,己亥,陰土陰水,四綠,木,三碧,木,二黑,土,四綠,木
1978-07-23,晚子時,23:00-24:00,,戊午,陽土陽火,丁未,陰火陰土,丙戌,陽火陽土,庚子,陽金陽水,四綠,木,三碧,木,二黑,土,六白,金
1978-07-24,早子時,00:00-01:00,,戊午,陽土陽火,丁未,陰火陰土,丁亥,陰火陰水,庚子,陽金陽水,四綠,木,三碧,木,一白,水,三碧,木
1978-07-24,丑時,01:00-03:00,,戊午,陽土陽火,丁未,陰火陰土,丁亥,陰火陰水,辛丑,陰金陰土,四綠,木,三碧,木,一白,水,二黑,土
1978-07-24,寅時,03:00-05:00,,戊午,陽土陽火,丁未,陰火陰土,丁亥,陰火陰水,壬寅,陽水陽木,四綠,木,三碧,木,一白,水,一白,水
1978-07-24,卯時,05:00-07:00,,戊午,陽土陽火,丁未,陰火陰土,丁亥,陰火陰水,癸卯,陰水陰木,四綠,木,三碧,木,一白,水,九紫,火
1978-07-24,辰時,07:00-09:00,,戊午,陽土陽火,丁未,陰火陰土,丁亥,陰火陰水,甲辰,陽木陽土,四綠,木,三碧,木,一白,水,八白,土
1978-07-24,巳時,09:00-11:00,,戊午,陽土陽火,丁未,陰火陰土,丁亥,陰火陰水,乙巳,陰木陰火,四綠,木,三碧,木,一白,水,七赤,金
1978-07-24,午時,11:00-13:00,,戊午,陽土陽火,丁未,陰火陰土,丁亥,陰火陰水,丙午,陽火陽火,四綠,木,三碧,木,一白,水,六白,金
1978-07-24,未時,13:00-15:00,,戊午,陽土陽火,丁未,陰火陰土,丁亥,陰火陰水,丁未,陰火陰土,四綠,木,三碧,木,一白,水,五黃,土
1978-07-24,申時,15:00-17:00,,戊午,陽土陽火,丁未,陰火陰土,丁亥,陰火陰水,戊申,陽土陽金,四綠,木,三碧,木,一白,水,四綠,木
1978-07-24,酉時,17:00-19:00,,戊午,陽土陽火,丁未,陰火陰土,丁亥,陰火陰水,己酉,陰土陰金,四綠,木,三碧,木,一白,水,三碧,木
1978-07-24,戌時,19:00-21:00,,戊午,陽土陽火,丁未,陰火陰土,丁亥,陰火陰水,庚戌,陽金陽土,四綠,木,三碧,木,一白,水,二黑,土
1978-07-24,亥時,21:00-23:00,,戊午,陽土陽火,丁未,陰火陰土,丁亥,陰火陰水,辛亥,陰金陰水,四綠,木,三碧,木,一白,水,一白,水
1978-07-24,晚子時,23:00-24:00,,戊午,陽土陽火,丁未,陰火陰土,丁亥,陰火陰水,壬子,陽水陽水,四綠,木,三碧,木,一白,水,三碧,木
1978-07-25,早子時,00:00-01:00,,戊午,陽土陽火,丁未,陰火陰土,戊子,陽土陽水,壬子,陽水陽水,四綠,木,三碧,木,九紫,火,九紫,火
1978-07-25,丑時,01:00-03:00,,戊午,陽土陽火,丁未,陰火陰土,戊子,陽土陽水,癸丑,陰水陰土,四綠,木,三碧,木,九紫,火,八白,土
1978-07-25,寅時,03:00-05:00,,戊午,陽土陽火,丁未,陰火陰土,戊子,陽土陽水,甲寅,陽木陽木,四綠,木,三碧,木,九紫,火,七赤,金
1978-07-25,卯時,05:00-07:00,,戊午,陽土陽火,丁未,陰火陰土,戊子,陽土陽水,乙卯,陰木陰木,四綠,木,三碧,木,九紫,火,六白,金
1978-07-25,辰時,07:00-09:00,,戊午,陽土陽火,丁未,陰火陰土,戊子,陽土陽水,丙辰,陽火陽土,四綠,木,三碧,木,九紫,火,五黃,土
1978-07-25,巳時,09:00-11:00,,戊午,陽土陽火,丁未,陰火陰土,戊子,陽土陽水,丁巳,陰火陰火,四綠,木,三碧,木,九紫,火,四綠,木
1978-07-25,午時,11:00-13:00,,戊午,陽土陽火,丁未,陰火陰土,戊子,陽土陽水,戊午,陽土陽火,四綠,木,三碧,木,九紫,火,三碧,木
1978-07-25,未時,13:00-15:00,,戊午,陽土陽火,丁未,陰火陰土,戊子,陽土陽水,己未,陰土陰土,四綠,木,三碧,木,九紫,火,二黑,土
1978-07-25,申時,15:00-17:00,,戊午,陽土陽火,丁未,陰火陰土,戊子,陽土陽水,庚申,陽金陽金,四綠,木,三碧,木,九紫,火,一白,水
1978-07-25,酉時,17:00-19:00,,戊午,陽土陽火,丁未,陰火陰土,戊子,陽土陽水,辛酉,陰金陰金,四綠,木,三碧,木,九紫,火,九紫,火
1978-07-25,戌時,19:00-21:00,,戊午,陽土陽火,丁未,陰火陰土,戊子,陽土陽水,壬戌,陽水陽土,四綠,木,三碧,木,九紫,火,八白,土
1978-07-25,亥時,21:00-23:00,,戊午,陽土陽火,丁未,陰火陰土,戊子,陽土陽水,癸亥,陰水陰水,四綠,木,三碧,木,九紫,火,七赤,金
1978-07-25,晚子時,23:00-24:00,,戊午,陽土陽火,丁未,陰火陰土,戊子,陽土陽水,甲子,陽木陽水,四綠,木,三碧,木,九紫,火,九紫,火
1978-07-26,早子時,00:00-01:00,,戊午,陽土陽火,丁未,陰火陰土,己丑,陰土陰土,甲子,陽木陽水,四綠,木,三碧,木,八白,土,六白,金
1978-07-26,丑時,01:00-03:00,,戊午,陽土陽火,丁未,陰火陰土,己丑,陰土陰土,乙丑,陰木陰土,四綠,木,三碧,木,八白,土,五黃,土
1978-07-26,寅時,03:00-05:00,,戊午,陽土陽火,丁未,陰火陰土,己丑,陰土陰土,丙寅,陽火陽木,四綠,木,三碧,木,八白,土,四綠,木
1978-07-26,卯時,05:00-07:00,,戊午,陽土陽火,丁未,陰火陰土,己丑,陰土陰土,丁卯,陰火陰木,四綠,木,三碧,木,八白,土,三碧,木
1978-07-26,辰時,07:00-09:00,,戊午,陽土陽火,丁未,陰火陰土,己丑,陰土陰土,戊辰,陽土陽土,四綠,木,三碧,木,八白,土,二黑,土
1978-07-26,巳時,09:00-11:00,,戊午,陽土陽火,丁未,陰火陰土,己丑,陰土陰土,己巳,陰土陰火,四綠,木,三碧,木,八白,土,一白,水
1978-07-26,午時,11:00-13:00,,戊午,陽土陽火,丁未,陰火陰土,己丑,陰土陰土,庚午,陽金陽火,四綠,木,三碧,木,八白,土,九紫,火
1978-07-26,未時,13:00-15:00,,戊午,陽土陽火,丁未,陰火陰土,己丑,陰土陰土,辛未,陰金陰土,四綠,木,三碧,木,八白,土,八白,土
1978-07-26,申時,15:00-17:00,,戊午,陽土陽火,丁未,陰火陰土,己丑,陰土陰土,壬申,陽水陽金,四綠,木,三碧,木,八白,土,七赤,金
1978-07-26,酉時,17:00-19:00,,戊午,陽土陽火,丁未,陰火陰土,己丑,陰土陰土,癸酉,陰水陰金,四綠,木,三碧,木,八白,土,六白,金
1978-07-26,戌時,19:00-21:00,,戊午,陽土陽火,丁未,陰火陰土,己丑,陰土陰土,甲戌,陽木陽土,四綠,木,三碧,木,八白,土,五黃,土
1978-07-26,亥時,21:00-23:00,,戊午,陽土陽火,丁未,陰火陰土,己丑,陰土陰土,乙亥,陰木陰水,四綠,木,三碧,木,八白,土,四綠,木
1978-07-26,晚子時,23:00-24:00,,戊午,陽土陽火,丁未,陰火陰土,己丑,陰土陰土,丙子,陽火陽水,四綠,木,三碧,木,八白,土,六白,金
1978-07-27,早子時,00:00-01:00,,戊午,陽土陽火,丁未,陰火陰土,庚寅,陽金陽木,丙子,陽火陽水,四綠,木,三碧,木,七赤,金,三碧,木
1978-07-27,丑時,01:00-03:00,,戊午,陽土陽火,丁未,陰火陰土,庚寅,陽金陽木,丁丑,陰火陰土,四綠,木,三碧,木,七赤,金,二黑,土
1978-07-27,寅時,03:00-05:00,,戊午,陽土陽火,丁未,陰火陰土,庚寅,陽金陽木,戊寅,陽土陽木,四綠,木,三碧,木,七赤,金,一白,水
1978-07-27,卯時,05:00-07:00,,戊午,陽土陽火,丁未,陰火陰土,庚寅,陽金陽木,己卯,陰土陰木,四綠,木,三碧,木,七赤,金,九紫,火
1978-07-27,辰時,07:00-09:00,,戊午,陽土陽火,丁未,陰火陰土,庚寅,陽金陽木,庚辰,陽金陽土,四綠,木,三碧,木,七赤,金,八白,土
1978-07-27,巳時,09:00-11:00,,戊午,陽土陽火,丁未,陰火陰土,庚寅,陽金陽木,辛巳,陰金陰火,四綠,木,三碧,木,七赤,金,七赤,金
1978-07-27,午時,11:00-13:00,,戊午,陽土陽火,丁未,陰火陰土,庚寅,陽金陽木,壬午,陽水陽火,四綠,木,三碧,木,七赤,金,六白,金
1978-07-27,未時,13:00-15:00,,戊午,陽土陽火,丁未,陰火陰土,庚寅,陽金陽木,癸未,陰水陰土,四綠,木,三碧,木,七赤,金,五黃,土
1978-07-27,申時,15:00-17:00,,戊午,陽土陽火,丁未,陰火陰土,庚寅,陽金陽木,甲申,陽木陽金,四綠,木,三碧,木,七赤,金,四綠,木
1978-07-27,酉時,17:00-19:00,,戊午,陽土陽火,丁未,陰火陰土,庚寅,陽金陽木,乙酉,陰木陰金,四綠,木,三碧,木,七赤,金,三碧,木
1978-07-27,戌時,19:00-21:00,,戊午,陽土陽火,丁未,陰火陰土,庚寅,陽金陽木,丙戌,陽火陽土,四綠,木,三碧,木,七赤,金,二黑,土
1978-07-27,亥時,21:00-23:00,,戊午,陽土陽火,丁未,陰火陰土,庚寅,陽金陽木,丁亥,陰火陰水,四綠,木,三碧,木,七赤,金,一白,水
1978-07-27,晚子時,23:00-24:00,,戊午,陽土陽火,丁未,陰火陰土,庚寅,陽金陽木,戊子,陽土陽水,四綠,木,三碧,木,七赤,金,三碧,木
1978-07-28,早子時,00:00-01:00,,戊午,陽土陽火,丁未,陰火陰土,辛卯,陰金陰木,戊子,陽土陽水,四綠,木,三碧,木,六白,金,九紫,火
1978-07-28,丑時,01:00-03:00,,戊午,陽土陽火,丁未,陰火陰土,辛卯,陰金陰木,己丑,陰土陰土,四綠,木,三碧,木,六白,金,八白,土
1978-07-28,寅時,03:00-05:00,,戊午,陽土陽火,丁未,陰火陰土,辛卯,陰金陰木,庚寅,陽金陽木,四綠,木,三碧,木,六白,金,七赤,金
1978-07-28,卯時,05:00-07:00,,戊午,陽土陽火,丁未,陰火陰土,辛卯,陰金陰木,辛卯,陰金陰木,四綠,木,三碧,木,六白,金,六白,金
1978-07-28,辰時,07:00-09:00,,戊午,陽土陽火,丁未,陰火陰土,辛卯,陰金陰木,壬辰,陽水陽土,四綠,木,三碧,木,六白,金,五黃,土
